f,s21
1.33,0.236598699
1.34,0.232642647
1.35,0.228587403
1.36,0.224432968
1.37,0.220179342
1.38,0.215826523
1.39,0.211374514
1.4,0.206823313
1.41,0.20217292
1.42,0.197423336
1.43,0.192574561
1.44,0.187626594
1.45,0.182579435
1.46,0.178071474
1.47,0.175420733
1.48,0.17282127
1.49,0.170273084
1.5,0.167776177
1.51,0.165330549
1.52,0.162936198
1.53,0.160593125
1.54,0.15830133
1.55,0.156060814
1.56,0.153871575
1.57,0.151733615
1.58,0.149646933
1.59,0.147611529
1.6,0.145627403
1.61,0.143694555
1.62,0.141812985
1.63,0.139982693
1.64,0.13820368
1.65,0.136475944
1.66,0.134799487
1.67,0.133174308
1.68,0.131600407
1.69,0.130077784
1.7,0.128606439
1.71,0.127186372
1.72,0.125817583
1.73,0.124500072
1.74,0.12323384
1.75,0.122018885
1.76,0.120855209
1.77,0.119742811
1.78,0.118681691
1.79,0.117671849
1.8,0.116713285
1.81,0.115805999
1.82,0.114949991
1.83,0.114145262
1.84,0.11339181
1.85,0.112689637
1.86,0.112038741
1.87,0.111439124
1.88,0.110890785
1.89,0.110393724
1.9,0.109947941
1.91,0.109553436
1.92,0.10921021
1.93,0.108918261
1.94,0.108677591
1.95,0.108488198
1.96,0.108350084
1.97,0.108263248
1.98,0.10822769
1.99,0.10824341
2,0.108310408
2.01,0.108428684
2.02,0.108598239
2.03,0.108819071
2.04,0.109091182
2.05,0.10941457
2.06,0.109789237
2.07,0.110215182
2.08,0.110692405
2.09,0.111220906
2.1,0.111800685
2.11,0.112431743
2.12,0.113114078
2.13,0.113847692
2.14,0.114632583
2.15,0.115468753
2.16,0.116356201
2.17,0.117294927
2.18,0.118284931
2.19,0.119326213
2.2,0.120418773
2.21,0.121562611
2.22,0.122757728
2.23,0.124004122
2.24,0.125301795
2.25,0.126650746
2.26,0.128050975
2.27,0.129502482
2.28,0.131005267
2.29,0.131770573
2.3,0.130480531
2.31,0.129173263
2.32,0.127848769
2.33,0.126507049
2.34,0.125148103
2.35,0.123771932
2.36,0.122378535
2.37,0.120967912
2.38,0.119540063
2.39,0.118094988
2.4,0.116632688
2.41,0.115153161
2.42,0.113656409
2.43,0.112142431
2.44,0.110611227
2.45,0.109062798
2.46,0.107497143
2.47,0.105914261
2.48,0.104314154
2.49,0.102696821
2.5,0.101062263
2.51,0.099410478
2.52,0.097741468
2.53,0.096055232
2.54,0.09435177
2.55,0.092631082
2.56,0.090893169
2.57,0.08913803
2.58,0.087365664
2.59,0.085576074
2.6,0.083769257
2.61,0.081945214
2.62,0.080103946
2.63,0.078245452
2.64,0.076369732
2.65,0.074476786
2.66,0.072566614
2.67,0.070639217
2.68,0.068694593
2.69,0.066732744
2.7,0.064753669
2.71,0.062757369
2.72,0.060743842
2.73,0.05871309
2.74,0.056665112
2.75,0.054599908
2.76,0.052517478
2.77,0.050417822
2.78,0.048300941
2.79,0.046166834
2.8,0.044015501
2.81,0.041846942
2.82,0.039661157
2.83,0.037458147
2.84,0.03523791
2.85,0.033000448
2.86,0.03074576
2.87,0.028473847
2.88,0.026184707
2.89,0.023878342
2.9,0.021554751
2.91,0.019213934
2.92,0.016855891
2.93,0.015312511
2.94,0.014823771
2.95,0.014375737
2.96,0.01396841
2.97,0.013601789
2.98,0.013275875
2.99,0.012990667
3,0.012746166
3.01,0.012542371
3.02,0.012379283
3.03,0.012256901
3.04,0.012175226
3.05,0.012134257
3.06,0.012133995
3.07,0.012174439
3.08,0.01225559
3.09,0.012377447
3.1,0.012540011
3.11,0.012743281
3.12,0.012987258
3.13,0.013271941
3.14,0.013597331
3.15,0.013963427
3.16,0.014370229
3.17,0.014817739
3.18,0.015305954
3.19,0.015834876
3.2,0.016404505
3.21,0.01701484
3.22,0.017665882
3.23,0.01835763
3.24,0.019090085
3.25,0.019863246
3.26,0.020677113
3.27,0.021531687
3.28,0.022426968
3.29,0.023362955
3.3,0.024339649
3.31,0.025357049
3.32,0.026415155
3.33,0.027513968
3.34,0.028653488
3.35,0.029833714
3.36,0.031054646
3.37,0.032316286
3.38,0.033618631
3.39,0.034961683
3.4,0.036345442
3.41,0.037769907
3.42,0.039235078
3.43,0.040740956
3.44,0.042287541
3.45,0.043874832
3.46,0.045502829
3.47,0.047171533
3.48,0.048880944
3.49,0.050522714
3.5,0.050584124
3.51,0.050626097
3.52,0.050648634
3.53,0.050651736
3.54,0.050635401
3.55,0.050599631
3.56,0.050544425
3.57,0.050469782
3.58,0.050375704
3.59,0.05026219
3.6,0.05012924
3.61,0.049976855
3.62,0.049805033
3.63,0.049613775
3.64,0.049403081
3.65,0.049172952
3.66,0.048923386
3.67,0.048654385
3.68,0.048365948
3.69,0.048058075
3.7,0.047730765
3.71,0.04738402
3.72,0.047017839
3.73,0.046632223
3.74,0.04622717
3.75,0.045802681
3.76,0.045358756
3.77,0.044895396
3.78,0.044412599
3.79,0.043910367
3.8,0.043388699
3.81,0.042847595
3.82,0.042287054
3.83,0.041707078
3.84,0.041107666
3.85,0.040488819
3.86,0.039850535
3.87,0.039192815
3.88,0.038515659
3.89,0.037819068
3.9,0.03710304
3.91,0.036367577
3.92,0.035612678
3.93,0.034838342
3.94,0.034044571
3.95,0.033231364
3.96,0.032398721
3.97,0.031546642
3.98,0.030675128
3.99,0.029784177
4,0.02887379
4.01,0.027943968
4.02,0.026994709
4.03,0.026026015
4.04,0.025037884
4.05,0.024030318
4.06,0.023003316
4.07,0.021956878
4.08,0.020891004
4.09,0.019805694
4.1,0.018700948
4.11,0.017576767
4.12,0.016433149
4.13,0.015531065
4.14,0.015485104
4.15,0.015454518
4.16,0.015439307
4.17,0.015439471
4.18,0.015455009
4.19,0.015485922
4.2,0.015532209
4.21,0.015593872
4.22,0.015670909
4.23,0.01576332
4.24,0.015871107
4.25,0.015994268
4.26,0.016132803
4.27,0.016286714
4.28,0.016455999
4.29,0.016640659
4.3,0.016840693
4.31,0.017056102
4.32,0.017286886
4.33,0.017533044
4.34,0.017794577
4.35,0.018071485
4.36,0.018363768
4.37,0.018671425
4.38,0.018994457
4.39,0.019332863
4.4,0.019686645
4.41,0.0200558
4.42,0.020440331
4.43,0.020840236
4.44,0.021255516
4.45,0.021686171
4.46,0.0221322
4.47,0.022593604
4.48,0.023070383
4.49,0.023562536
4.5,0.024070064
4.51,0.024592967
4.52,0.025131244
4.53,0.025684896
4.54,0.026253923
4.55,0.026838325
4.56,0.027438101
4.57,0.028053251
4.58,0.028683777
4.59,0.029329677
4.6,0.029990952
4.61,0.030667602
4.62,0.031359626
4.63,0.032067025
4.64,0.032789798
4.65,0.033527946
4.66,0.034281469
4.67,0.035050367
4.68,0.035834639
4.69,0.036634286
4.7,0.037449308
4.71,0.038279704
4.72,0.039125475
4.73,0.039986621
4.74,0.040863141
4.75,0.041755036
4.76,0.042662306
4.77,0.043584951
4.78,0.04452297
4.79,0.045476363
4.8,0.046445132
4.81,0.047429275
4.82,0.048428793
4.83,0.049443685
4.84,0.050473953
4.85,0.051512766
4.86,0.052566458
4.87,0.053635328
4.88,0.054719374
4.89,0.055818598
4.9,0.056932999
4.91,0.058062577
4.92,0.059207332
4.93,0.060367264
4.94,0.061542374
4.95,0.062732661
4.96,0.063938126
4.97,0.065158767
4.98,0.066394586
4.99,0.067645582
5,0.068911755
5.01,0.070193105
5.02,0.071489633
5.03,0.072801338
5.04,0.07412822
5.05,0.075470279
5.06,0.076827516
5.07,0.078199929
5.08,0.07958752
5.09,0.080990289
5.1,0.082408234
5.11,0.083841357
5.12,0.085289657
5.13,0.086753134
5.14,0.088231788
5.15,0.08972562
5.16,0.091234629
5.17,0.092758815
5.18,0.094298178
5.19,0.095852718
5.2,0.097422436
5.21,0.099007331
5.22,0.100607403
5.23,0.102222653
5.24,0.10385308
5.25,0.105498683
5.26,0.107159465
5.27,0.108835423
5.28,0.110526559
5.29,0.112232871
5.3,0.113954361
5.31,0.115691029
5.32,0.117442873
5.33,0.119209895
5.34,0.120992094
5.35,0.12278947
5.36,0.124602024
5.37,0.126429754
5.38,0.128272662
5.39,0.130130747
5.4,0.13200401
5.41,0.133892449
5.42,0.135796066
5.43,0.13771486
5.44,0.139648831
5.45,0.14159798
5.46,0.143562305
5.47,0.145541808
5.48,0.147536489
5.49,0.149546346
5.5,0.151571381
5.51,0.153611593
5.52,0.155666982
5.53,0.157737548
5.54,0.159823292
5.55,0.161924212
5.56,0.16404031
5.57,0.166171586
5.58,0.168318038
5.59,0.170479668
5.6,0.172656475
5.61,0.174848459
5.62,0.17705562
5.63,0.178967266
5.64,0.179856529
5.65,0.180727343
5.66,0.181579708
5.67,0.182413625
5.68,0.183229093
5.69,0.184026112
5.7,0.184804683
5.71,0.185564805
5.72,0.186306479
5.73,0.187029704
5.74,0.18773448
5.75,0.188420808
5.76,0.189088687
5.77,0.189738118
5.78,0.1903691
5.79,0.190981633
5.8,0.191575718
5.81,0.192151354
5.82,0.192708541
5.83,0.19324728
5.84,0.19376757
5.85,0.194269412
5.86,0.194752805
5.87,0.195217749
5.88,0.195664245
5.89,0.196092292
5.9,0.196501891
5.91,0.19689304
5.92,0.197265742
5.93,0.197619994
5.94,0.197955798
5.95,0.198273154
5.96,0.198572061
5.97,0.198852519
5.98,0.199114529
5.99,0.19935809
6,0.199583202
6.01,0.199789866
6.02,0.199978081
6.03,0.200147847
6.04,0.200299165
6.05,0.200432035
6.06,0.200546455
6.07,0.200642427
6.08,0.200719951
6.09,0.200779026
6.1,0.200819652
6.11,0.200841829
6.12,0.200845558
6.13,0.200830839
6.14,0.20079767
6.15,0.200746054
6.16,0.200675988
6.17,0.200587474
6.18,0.200480511
6.19,0.2003551
6.2,0.20021124
6.21,0.200048931
6.22,0.199868174
6.23,0.199668968
6.24,0.199451314
6.25,0.199215211
6.26,0.198960659
6.27,0.198687659
6.28,0.19839621
6.29,0.198086313
6.3,0.197757967
6.31,0.197411172
6.32,0.197045928
6.33,0.196662236
6.34,0.196260096
6.35,0.195839507
6.36,0.195400469
6.37,0.194942982
6.38,0.194467047
6.39,0.193972664
6.4,0.193459832
6.41,0.192928551
6.42,0.192378821
6.43,0.191810643
6.44,0.191224016
6.45,0.190618941
6.46,0.189995417
6.47,0.189353444
6.48,0.188693023
6.49,0.188014153
6.5,0.187316835
6.51,0.186601068
6.52,0.185866852
6.53,0.185114188
6.54,0.184343075
6.55,0.183553514
6.56,0.182745503
6.57,0.181919045
6.58,0.181074137
6.59,0.180210781
6.6,0.179328977
6.61,0.178583176
6.62,0.178097409
6.63,0.177601888
6.64,0.177096612
6.65,0.176581581
6.66,0.176056795
6.67,0.175522254
6.68,0.174977959
6.69,0.174423909
6.7,0.173860104
6.71,0.173286544
6.72,0.17270323
6.73,0.17211016
6.74,0.171507336
6.75,0.170894758
6.76,0.170272424
6.77,0.169640336
6.78,0.168998493
6.79,0.168346895
6.8,0.167685542
6.81,0.167014435
6.82,0.166333573
6.83,0.165642956
6.84,0.164942584
6.85,0.164232458
6.86,0.163512577
6.87,0.162782941
6.88,0.16204355
6.89,0.161294404
6.9,0.160535504
6.91,0.159766849
6.92,0.158988439
6.93,0.158200275
6.94,0.157402355
6.95,0.156594681
6.96,0.155777252
6.97,0.154950068
6.98,0.15411313
6.99,0.153266437
7,0.152409989
7.01,0.151543786
7.02,0.150667829
7.03,0.149782116
7.04,0.148886649
7.05,0.147981427
7.06,0.147066451
7.07,0.146141719
7.08,0.145207233
7.09,0.144262992
7.1,0.143308997
7.11,0.142345246
7.12,0.141371741
7.13,0.140388481
7.14,0.139395466
7.15,0.138392697
7.16,0.137380173
7.17,0.136357894
7.18,0.13532586
7.19,0.134284071
7.2,0.133232528
7.21,0.13217123
7.22,0.131100177
7.23,0.130019369
7.24,0.128928807
7.25,0.127828489
7.26,0.126718417
7.27,0.125598591
7.28,0.124469009
7.29,0.123329673
7.3,0.122180582
7.31,0.121021736
7.32,0.119853135
7.33,0.11867478
7.34,0.11748667
7.35,0.116288805
7.36,0.115081185
7.37,0.113863811
7.38,0.112636682
7.39,0.111399798
7.4,0.110153159
7.41,0.108896765
7.42,0.107630617
7.43,0.106354714
7.44,0.105069056
7.45,0.103773644
7.46,0.102468476
7.47,0.101153554
7.48,0.099828877
7.49,0.098494446
7.5,0.097150259
7.51,0.097187821
7.52,0.097246427
7.53,0.097326077
7.54,0.097426771
7.55,0.097548508
7.56,0.097691289
7.57,0.097855114
7.58,0.098039983
7.59,0.098245895
7.6,0.098472851
7.61,0.098720851
7.62,0.098989895
7.63,0.099279982
7.64,0.099591113
7.65,0.099923288
7.66,0.100276507
7.67,0.100650769
7.68,0.101046075
7.69,0.101462425
7.7,0.101899819
7.71,0.102358256
7.72,0.102837738
7.73,0.103338263
7.74,0.103859831
7.75,0.104402444
7.76,0.1049661
7.77,0.1055508
7.78,0.106156544
7.79,0.106783331
7.8,0.107431162
7.81,0.108100037
7.82,0.108789956
7.83,0.109500918
7.84,0.110232925
7.85,0.110985975
7.86,0.111760068
7.87,0.112555206
7.88,0.113371387
7.89,0.114208612
7.9,0.115066881
7.91,0.115946193
7.92,0.11684655
7.93,0.11776795
7.94,0.118710393
7.95,0.119673881
7.96,0.120658412
7.97,0.121663987
7.98,0.122690606
7.99,0.123738269
8,0.124806975
8.01,0.125896725
8.02,0.127007519
8.03,0.128139357
8.04,0.129292238
8.05,0.130466163
8.06,0.131661132
8.07,0.131705344
8.08,0.130989399
8.09,0.130227862
8.1,0.129420733
8.11,0.128568012
8.12,0.127669698
8.13,0.126725793
8.14,0.125736295
8.15,0.124701205
8.16,0.123620522
8.17,0.122494248
8.18,0.121322381
8.19,0.120104922
8.2,0.11884187
8.21,0.117533227
8.22,0.116178991
8.23,0.114779163
8.24,0.113333743
8.25,0.111842731
8.26,0.110306127
8.27,0.10872393
8.28,0.107096141
8.29,0.10542276
8.3,0.103703786
8.31,0.101939221
8.32,0.100129063
8.33,0.098273313
8.34,0.096371971
8.35,0.094425036
8.36,0.09243251
8.37,0.090394391
8.38,0.08831068
8.39,0.086181376
8.4,0.084006481
8.41,0.081785993
8.42,0.079519913
8.43,0.077208241
8.44,0.074850976
8.45,0.07244812
8.46,0.069999671
8.47,0.06750563
8.48,0.064965997
8.49,0.062380771
8.5,0.059749954
8.51,0.057073544
8.52,0.054351542
8.53,0.051583947
8.54,0.048770761
8.55,0.045911982
8.56,0.043007611
8.57,0.040057648
8.58,0.037062093
8.59,0.034020945
8.6,0.030934205
8.61,0.027801873
8.62,0.024623949
8.63,0.021400432
8.64,0.018131324
8.65,0.014816623
8.66,0.01145633
8.67,0.008050445
8.68,0.004598967
8.69,0.001101897
8.7,-0.002440765
8.71,-0.006029019
8.72,-0.009662865
8.73,-0.013342304
8.74,-0.017067335
8.75,-0.020837958
8.76,-0.024654173
8.77,-0.02851598
8.78,-0.031941851
8.79,-0.034453879
8.8,-0.036971997
8.81,-0.039496205
8.82,-0.042026505
8.83,-0.044562895
8.84,-0.047105376
8.85,-0.049653947
8.86,-0.052208609
8.87,-0.054769362
8.88,-0.057336206
8.89,-0.05990914
8.9,-0.062488165
8.91,-0.065073281
8.92,-0.067664487
8.93,-0.070261785
8.94,-0.072865172
8.95,-0.075474651
8.96,-0.07809022
8.97,-0.08071188
8.98,-0.083339631
8.99,-0.085973472
9,-0.088613404
9.01,-0.091259427
9.02,-0.093911541
9.03,-0.096569745
9.04,-0.09923404
9.05,-0.101904425
9.06,-0.104580902
9.07,-0.107263469
9.08,-0.109952127
9.09,-0.112646875
9.1,-0.115347714
9.11,-0.118054644
9.12,-0.120767664
9.13,-0.123486776
9.14,-0.126211978
9.15,-0.12894327
9.16,-0.131680654
9.17,-0.134424128
9.18,-0.137173693
9.19,-0.139929348
9.2,-0.142691094
9.21,-0.145458931
9.22,-0.148232859
9.23,-0.151012877
9.24,-0.153798986
9.25,-0.156591186
9.26,-0.159389476
9.27,-0.162193857
9.28,-0.165004329
9.29,-0.167820892
9.3,-0.170643545
9.31,-0.173472289
9.32,-0.176307124
9.33,-0.179148049
9.34,-0.181995065
9.35,-0.184848172
9.36,-0.187707369
9.37,-0.190572658
9.38,-0.193444036
9.39,-0.195884748
9.4,-0.198128999
9.41,-0.200359058
9.42,-0.202574926
9.43,-0.204776603
9.44,-0.206964089
9.45,-0.209137383
9.46,-0.211296487
9.47,-0.213441399
9.48,-0.21557212
9.49,-0.21768865
9.5,-0.219790989
9.51,-0.221879137
9.52,-0.223953094
9.53,-0.226012859
9.54,-0.228058433
9.55,-0.230089817
9.56,-0.232107009
9.57,-0.234110009
9.58,-0.236098819
9.59,-0.238073438
9.6,-0.240033865
9.61,-0.241980101
9.62,-0.243912146
9.63,-0.24583
9.64,-0.247733663
9.65,-0.249623135
9.66,-0.251498415
9.67,-0.253359505
9.68,-0.255206403
9.69,-0.25703911
9.7,-0.258857626
9.71,-0.260661951
9.72,-0.262452084
9.73,-0.264228027
9.74,-0.265989778
9.75,-0.267737338
9.76,-0.269470707
9.77,-0.271189885
9.78,-0.272894872
9.79,-0.274585667
9.8,-0.27622654
9.81,-0.277716129
9.82,-0.279183473
9.83,-0.280628571
9.84,-0.282051424
9.85,-0.283452032
9.86,-0.284830394
9.87,-0.286186511
9.88,-0.287520382
9.89,-0.288832008
9.9,-0.290121388
9.91,-0.291388523
9.92,-0.292633413
9.93,-0.293856057
9.94,-0.295056456
9.95,-0.296234609
9.96,-0.297390517
9.97,-0.29852418
9.98,-0.299635597
9.99,-0.300724769
10,-0.301791695
10.01,-0.302836376
10.02,-0.303858811
10.03,-0.304859001
10.04,-0.305836946
10.05,-0.306792645
10.06,-0.307726099
10.07,-0.308637307
10.08,-0.30952627
10.09,-0.310392988
10.1,-0.310817384
10.11,-0.310605854
10.12,-0.310306731
10.13,-0.309920013
10.14,-0.309445702
10.15,-0.308883796
10.16,-0.308234297
10.17,-0.307497205
10.18,-0.306672518
10.19,-0.305760237
10.2,-0.304760363
10.21,-0.303672894
10.22,-0.302497832
10.23,-0.301235176
10.24,-0.299884927
10.25,-0.298447083
10.26,-0.296921645
10.27,-0.295308614
10.28,-0.293607989
10.29,-0.29181977
10.3,-0.289943957
10.31,-0.28798055
10.32,-0.28592955
10.33,-0.283790955
10.34,-0.281564767
10.35,-0.279250985
10.36,-0.276849609
10.37,-0.274360639
10.38,-0.271784075
10.39,-0.269119918
10.4,-0.266368166
10.41,-0.263528821
10.42,-0.260601882
10.43,-0.257587349
10.44,-0.254485223
10.45,-0.251295502
10.46,-0.248018188
10.47,-0.244653279
10.48,-0.241200777
10.49,-0.237660681
10.5,-0.234032991
10.51,-0.230317708
10.52,-0.22651483
10.53,-0.222624359
10.54,-0.218646294
10.55,-0.214580635
10.56,-0.210427382
10.57,-0.206186535
10.58,-0.201858095
10.59,-0.19744206
10.6,-0.192938432
10.61,-0.18834721
10.62,-0.183668394
10.63,-0.178901984
10.64,-0.17404798
10.65,-0.169106383
10.66,-0.164077192
10.67,-0.158960406
10.68,-0.153756027
10.69,-0.148464054
10.7,-0.147315705
10.71,-0.146972526
10.72,-0.146706309
10.73,-0.146517053
10.74,-0.14640476
10.75,-0.146369428
10.76,-0.146411058
10.77,-0.146529649
10.78,-0.146725203
10.79,-0.146997718
10.8,-0.147347195
10.81,-0.147773634
10.82,-0.148277034
10.83,-0.148857396
10.84,-0.14951472
10.85,-0.150249006
10.86,-0.151060254
10.87,-0.151948463
10.88,-0.152913634
10.89,-0.153955767
10.9,-0.155074862
10.91,-0.156270918
10.92,-0.157543936
10.93,-0.158893916
10.94,-0.160320858
10.95,-0.161824761
10.96,-0.163405626
10.97,-0.165063453
10.98,-0.166798242
10.99,-0.168609992
11,-0.170498705
11.01,-0.172464379
11.02,-0.174507015
11.03,-0.176626612
11.04,-0.178823171
11.05,-0.181096692
11.06,-0.183447175
11.07,-0.18587462
11.08,-0.188379026
11.09,-0.190960394
11.1,-0.193618724
11.11,-0.196354016
11.12,-0.199166269
11.13,-0.202055485
11.14,-0.205021662
11.15,-0.2080648
11.16,-0.211184901
11.17,-0.214381963
11.18,-0.217655987
11.19,-0.221006973
11.2,-0.224434921
11.21,-0.22793983
11.22,-0.231521701
11.23,-0.235180534
11.24,-0.238916328
11.25,-0.242729085
11.26,-0.246618803
11.27,-0.250585483
11.28,-0.254629125
11.29,-0.258749728
11.3,-0.262947293
11.31,-0.26722182
11.32,-0.271573309
11.33,-0.275935855
11.34,-0.277294224
11.35,-0.278632532
11.36,-0.279950779
11.37,-0.281248965
11.38,-0.28252709
11.39,-0.283785154
11.4,-0.285023158
11.41,-0.2862411
11.42,-0.287438982
11.43,-0.288616803
11.44,-0.289774562
11.45,-0.290912261
11.46,-0.292029899
11.47,-0.293127476
11.48,-0.294204993
11.49,-0.295262448
11.5,-0.296299842
11.51,-0.297317176
11.52,-0.298314449
11.53,-0.29929166
11.54,-0.300248811
11.55,-0.301185901
11.56,-0.30210293
11.57,-0.302999898
11.58,-0.303876806
11.59,-0.304733652
11.6,-0.305570438
11.61,-0.306387162
11.62,-0.307183826
11.63,-0.307960429
11.64,-0.308716971
11.65,-0.309453452
11.66,-0.310169872
11.67,-0.310866231
11.68,-0.311369128
11.69,-0.311838183
11.7,-0.31227706
11.71,-0.312685759
11.72,-0.313064278
11.73,-0.313412619
11.74,-0.31373078
11.75,-0.314018763
11.76,-0.314276568
11.77,-0.314504193
11.78,-0.314701639
11.79,-0.314868907
11.8,-0.315005996
11.81,-0.315112906
11.82,-0.315189637
11.83,-0.31523619
11.84,-0.315252563
11.85,-0.315238758
11.86,-0.315194774
11.87,-0.315120611
11.88,-0.31501627
11.89,-0.314881749
11.9,-0.31471705
11.91,-0.314522172
11.92,-0.314297115
11.93,-0.314041879
11.94,-0.313756465
11.95,-0.313440871
11.96,-0.313095099
11.97,-0.312719148
11.98,-0.312313018
11.99,-0.31187671
12,-0.311410222
12.01,-0.310913556
12.02,-0.310880829
12.03,-0.310880829
12.04,-0.310880829
12.05,-0.310880829
12.06,-0.310880829
12.07,-0.310880829
12.08,-0.310880829
12.09,-0.310880829
12.1,-0.310880829
12.11,-0.310880829
12.12,-0.310880829
12.13,-0.310880829
12.14,-0.310880829
12.15,-0.310880829
12.16,-0.310880829
12.17,-0.310880829
12.18,-0.310880829
12.19,-0.310880829
12.2,-0.310880829
12.21,-0.310880829
12.22,-0.310880829
12.23,-0.310880829
12.24,-0.310880829
12.25,-0.310880829
12.26,-0.310880829
12.27,-0.310880829
12.28,-0.310880829
12.29,-0.310880829
12.3,-0.310880829
12.31,-0.311148631
12.32,-0.313015737
12.33,-0.315002973
12.34,-0.317110337
12.35,-0.31933783
12.36,-0.321685451
12.37,-0.324153202
12.38,-0.326741081
12.39,-0.329449088
12.4,-0.332277225
12.41,-0.33522549
12.42,-0.338293884
12.43,-0.341482406
12.44,-0.344791057
12.45,-0.348219837
12.46,-0.351768746
12.47,-0.355437783
12.48,-0.359226949
12.49,-0.363136244
12.5,-0.367165667
12.51,-0.371315219
12.52,-0.3755849
12.53,-0.37997471
12.54,-0.384484648
12.55,-0.389114715
12.56,-0.39386491
12.57,-0.398735235
12.58,-0.403725688
12.59,-0.408836269
12.6,-0.41406698
12.61,-0.419417819
12.62,-0.424888787
12.63,-0.430479883
12.64,-0.436191109
12.65,-0.442022463
12.66,-0.447973945
12.67,-0.454045557
12.68,-0.460237297
12.69,-0.466549165
12.7,-0.472981163
12.71,-0.479533289
12.72,-0.486205544
12.73,-0.492997928
12.74,-0.49991044
12.75,-0.506943081
12.76,-0.51409585
12.77,-0.521368749
12.78,-0.528761776
12.79,-0.536274932
12.8,-0.543908216
12.81,-0.551661629
12.82,-0.559535171
12.83,-0.567460578
12.84,-0.572303119
12.85,-0.577142742
12.86,-0.581979444
12.87,-0.586813226
12.88,-0.591644089
12.89,-0.596472032
12.9,-0.601297055
12.91,-0.606119158
12.92,-0.610938342
12.93,-0.615754606
12.94,-0.62056795
12.95,-0.625378374
12.96,-0.630185878
12.97,-0.634990463
12.98,-0.639792128
12.99,-0.644590873
13,-0.649386698
13.01,-0.654179603
13.02,-0.658969589
13.03,-0.663756655
13.04,-0.668540801
13.05,-0.673322027
13.06,-0.678100333
13.07,-0.68287572
13.08,-0.687648187
13.09,-0.692417734
13.1,-0.697184361
13.11,-0.701948068
13.12,-0.706708856
13.13,-0.711466724
13.14,-0.716221672
13.15,-0.7209737
13.16,-0.725722809
13.17,-0.730468997
13.18,-0.731925202
13.19,-0.73311727
13.2,-0.73411462
13.21,-0.734917251
13.22,-0.735525163
13.23,-0.735938356
13.24,-0.736156831
13.25,-0.736180587
13.26,-0.736009624
13.27,-0.735643942
13.28,-0.735083542
13.29,-0.734328423
13.3,-0.733378585
13.31,-0.732234028
13.32,-0.730894753
13.33,-0.729360759
13.34,-0.727632046
13.35,-0.725708614
13.36,-0.723590464
13.37,-0.721277594
13.38,-0.718770007
13.39,-0.7160677
13.4,-0.713170674
13.41,-0.71007893
13.42,-0.706792467
13.43,-0.703311286
13.44,-0.699635385
13.45,-0.695764766
13.46,-0.691699428
13.47,-0.687439371
13.48,-0.682984596
13.49,-0.678335102
13.5,-0.673490889
13.51,-0.668451957
13.52,-0.663218307
