I,P,U
3.23,0.829915049,2.105133335
3.24,0.832755091,2.106590394
3.25,0.835587346,2.108068842
3.26,0.838413252,2.10956868
3.27,0.841243756,2.111089907
3.28,0.844066952,2.112632525
3.29,0.846871793,2.114196532
3.3,0.849648389,2.115781929
3.31,0.852388312,2.117388716
3.32,0.855084894,2.119016893
3.33,0.85773353,2.120666459
3.34,0.860331975,2.122337415
3.35,0.862880649,2.12391055
3.36,0.865382938,2.125080983
3.37,0.867845491,2.126227357
3.38,0.870278524,2.127349674
3.39,0.872692984,2.128447932
3.4,0.875078142,2.129522132
3.41,0.877433997,2.130572275
3.42,0.879725486,2.131598359
3.43,0.881961597,2.132600385
3.44,0.884190202,2.133578353
3.45,0.886454949,2.134532263
3.46,0.888794008,2.135462114
3.47,0.891238818,2.136367908
3.48,0.893812836,2.137249643
3.49,0.896530279,2.138107321
3.5,0.899394879,2.13894094
3.51,0.902398622,2.139750501
3.52,0.905520498,2.140536004
3.53,0.90872525,2.141297449
3.54,0.91196212,2.142034836
3.55,0.915276893,2.142748165
3.56,0.918680702,2.143437436
3.57,0.922123283,2.144102648
3.58,0.925557695,2.144743803
3.59,0.928941888,2.145360899
3.6,0.932240262,2.145953937
3.61,0.935425233,2.146522918
3.62,0.938478787,2.14706784
3.63,0.94139405,2.147588704
3.64,0.944176847,2.148085509
3.65,0.946847261,2.148558257
3.66,0.949441201,2.149006947
3.67,0.952011958,2.149735466
3.68,0.95455148,2.150533865
3.69,0.957039612,2.151331581
3.7,0.959476352,2.152128615
3.71,0.961861701,2.152924966
3.72,0.964195658,2.153720634
3.73,0.966478223,2.15451562
3.74,0.968709398,2.155309922
3.75,0.97088918,2.156103543
3.76,0.973017572,2.15689648
3.77,0.975018071,2.157688734
3.78,0.976956798,2.158480306
3.79,0.978899657,2.159271195
3.8,0.980903824,2.160061402
3.81,0.983016462,2.160850926
3.82,0.985273432,2.161639767
3.83,0.987698014,2.162670976
3.84,0.990299618,2.163805744
3.85,0.993072498,2.164977212
3.86,0.995994473,2.16618538
3.87,0.999025633,2.167430248
3.88,1.002107061,2.168711816
3.89,1.005159547,2.170030084
3.9,1.00824921,2.171385051
3.91,1.011379364,2.172776719
3.92,1.014550007,2.174205087
3.93,1.017761141,2.175670154
3.94,1.021031537,2.177171922
3.95,1.024356702,2.178710389
3.96,1.027710375,2.180285557
3.97,1.031068928,2.181897424
3.98,1.034411978,2.183545991
3.99,1.037723004,2.185231259
4,1.040989959,2.186953226
4.01,1.044205885,2.18818798
4.02,1.047369524,2.189279824
4.03,1.050485936,2.190340033
4.04,1.053567112,2.191368608
4.05,1.056632585,2.192365548
4.06,1.059710046,2.193330853
4.07,1.062795003,2.194264523
4.08,1.065876553,2.195166558
4.09,1.068954696,2.196036958
4.1,1.072029433,2.196875724
4.11,1.075100763,2.197682855
4.12,1.078168687,2.198458351
4.13,1.081233203,2.199202212
4.14,1.084294314,2.199914438
4.15,1.087352017,2.200595029
4.16,1.090410078,2.201243986
4.17,1.09347311,2.201861307
4.18,1.09653067,2.202446994
4.19,1.099573508,2.203001046
4.2,1.102593753,2.203523463
4.21,1.105585096,2.204014246
4.22,1.108542972,2.204473393
4.23,1.111464751,2.204900906
4.24,1.114349916,2.205296784
4.25,1.117200251,2.205661026
4.26,1.120020021,2.205993635
4.27,1.122816164,2.206294608
4.28,1.125598467,2.206563946
4.29,1.128371546,2.20680165
4.3,1.131128035,2.207007719
4.31,1.133867936,2.207182152
4.32,1.136591248,2.207606514
4.33,1.139297972,2.208467145
4.34,1.141988106,2.209341279
4.35,1.144661652,2.210228914
4.36,1.147318609,2.211130051
4.37,1.149958977,2.212044689
4.38,1.152582756,2.212972829
4.39,1.155189946,2.213914471
4.4,1.157780548,2.214869615
4.41,1.160354561,2.21583826
4.42,1.162911985,2.216820407
4.43,1.16545282,2.217816056
4.44,1.167977066,2.218825206
4.45,1.170461214,2.219847859
4.46,1.172922717,2.220884012
4.47,1.17538497,2.221933668
4.48,1.177867888,2.222996825
4.49,1.180387563,2.224073484
4.5,1.182955919,2.225163645
4.51,1.185580365,2.226267308
4.52,1.188263453,2.227384472
4.53,1.191002533,2.228515138
4.54,1.193789405,2.229659306
4.55,1.196609976,2.230816975
4.56,1.199443918,2.231988146
4.57,1.202264317,2.233172819
4.58,1.205088627,2.234370993
4.59,1.207921007,2.235582669
4.6,1.210761457,2.236807847
4.61,1.213609978,2.238046527
4.62,1.216481595,2.238884236
4.63,1.219378349,2.239656034
4.64,1.222274197,2.240410737
4.65,1.225145612,2.241148344
4.66,1.227972189,2.241868857
4.67,1.230737248,2.242572274
4.68,1.233428437,2.243258597
4.69,1.236038333,2.243927825
4.7,1.238565049,2.244579957
4.71,1.241012832,2.245214995
4.72,1.243392671,2.245832937
4.73,1.245722896,2.246433785
4.74,1.248029785,2.247017537
4.75,1.250315378,2.247584195
4.76,1.252565926,2.248133757
4.77,1.254781427,2.248666225
4.78,1.256961883,2.249181597
4.79,1.259107292,2.249679875
4.8,1.261217655,2.250161057
4.81,1.263281073,2.250625145
4.82,1.265280727,2.25116847
4.83,1.26725117,2.251876377
4.84,1.26922347,2.252592166
4.85,1.271224504,2.253315839
4.86,1.273276244,2.254047394
4.87,1.275395054,2.254786831
4.88,1.277590975,2.255534152
4.89,1.279867018,2.256289355
4.9,1.282218456,2.25705244
4.91,1.28463211,2.257823409
4.92,1.287085645,2.25860226
4.93,1.289546858,2.259388993
4.94,1.29199893,2.26018361
4.95,1.294466678,2.260986109
4.96,1.296950102,2.26179649
4.97,1.299449202,2.262614755
4.98,1.301963977,2.263440901
4.99,1.304494427,2.264274931
5,1.307040554,2.265116843
5.01,1.309602356,2.265966638
5.02,1.312179833,2.266824316
5.03,1.314772844,2.267689876
5.04,1.317374816,2.268563319
5.05,1.319991991,2.269444645
5.06,1.322629956,2.270333853
5.07,1.325293528,2.271202446
5.08,1.327986655,2.2720235
5.09,1.330712302,2.272846158
5.1,1.333472349,2.273670418
5.11,1.336267483,2.274496282
5.12,1.339097091,2.275323748
5.13,1.341959151,2.276152817
5.14,1.344850129,2.276983489
5.15,1.347764869,2.277815765
5.16,1.350696798,2.278649643
5.17,1.353652043,2.279485124
5.18,1.35663376,2.280322208
5.19,1.359656747,2.281160894
5.2,1.362703079,2.282001184
5.21,1.365756057,2.282843077
5.22,1.368800689,2.283686573
5.23,1.371824157,2.284531671
5.24,1.374816299,2.285378373
5.25,1.377770075,2.286226677
5.26,1.380682051,2.287076585
5.27,1.383552864,2.287928095
5.28,1.386387703,2.288781209
5.29,1.389196778,2.289635925
5.3,1.391995801,2.290492244
5.31,1.394799572,2.291350166
5.32,1.397592743,2.292209691
5.33,1.400375317,2.293070819
5.34,1.403147292,2.29393355
5.35,1.405908669,2.294797884
5.36,1.408659447,2.295663821
5.37,1.411399627,2.296531361
5.38,1.414129208,2.297400504
5.39,1.416848191,2.298271249
5.4,1.419556575,2.299143598
5.41,1.422257647,2.300017549
5.42,1.424948916,2.300893104
5.43,1.427627225,2.301770261
5.44,1.430289831,2.302649022
5.45,1.432934469,2.303529385
5.46,1.435559405,2.304447331
5.47,1.438163502,2.305373806
5.48,1.440746274,2.306303964
5.49,1.443307949,2.307237807
5.5,1.445849525,2.308175333
5.51,1.448372833,2.309116544
5.52,1.450880593,2.310061438
5.53,1.453376474,2.311010016
5.54,1.455857987,2.311962278
5.55,1.458324678,2.312918224
5.56,1.460778373,2.313877854
5.57,1.463217451,2.314841168
5.58,1.465640395,2.315808165
5.59,1.468045835,2.316778847
5.6,1.47043259,2.317753212
5.61,1.472799709,2.318731261
5.62,1.475146516,2.319712995
5.63,1.477472652,2.320698412
5.64,1.479778116,2.321687513
5.65,1.482063307,2.322680298
5.66,1.484329072,2.323676766
5.67,1.486576739,2.324676919
5.68,1.488808136,2.325680756
5.69,1.491021653,2.326688276
5.7,1.493217292,2.327699481
5.71,1.495395053,2.328714369
5.72,1.497554935,2.329732941
5.73,1.499696938,2.330755197
5.74,1.501821063,2.331781137
5.75,1.503927309,2.332810761
5.76,1.506015676,2.333844069
5.77,1.508086165,2.33488106
5.78,1.510138775,2.335921736
5.79,1.512173507,2.336966095
5.8,1.51419036,2.338014139
5.81,1.516189335,2.339065866
5.82,1.518159048,2.340121277
5.83,1.520091096,2.341180372
5.84,1.522012383,2.342162388
5.85,1.528505068,2.343019386
5.86,1.531766194,2.343869668
5.87,1.534945561,2.344713233
5.88,1.538043169,2.345550081
5.89,1.541059017,2.346380211
5.9,1.543993106,2.347203625
5.91,1.546845437,2.348020322
5.92,1.549616008,2.348830301
5.93,1.55230482,2.349633564
5.94,1.554911873,2.35043011
5.95,1.557437166,2.351219938
5.96,1.559880701,2.35200305
5.97,1.562242476,2.352779445
5.98,1.564522493,2.353549122
5.99,1.56672075,2.354312083
6,1.568837248,2.355068327
6.01,1.570871987,2.355817853
6.02,1.572824967,2.356560663
6.03,1.574696188,2.357296755
6.04,1.57648565,2.358026131
6.05,1.578213574,2.35874879
6.06,1.580327245,2.359464731
6.07,1.582459086,2.360173956
6.08,1.584609095,2.360876463
6.09,1.586777272,2.361572254
6.1,1.588963619,2.362261327
6.11,1.591168134,2.362943684
6.12,1.593390818,2.363619324
6.13,1.59563167,2.364288246
6.14,1.597890691,2.364950452
6.15,1.600167881,2.36560594
6.16,1.602463239,2.366254712
6.17,1.604743129,2.366896766
6.18,1.607031597,2.367550772
6.19,1.609332035,2.368226845
6.2,1.611644443,2.368898851
6.21,1.613968821,2.36956679
6.22,1.616305168,2.370230663
6.23,1.618653486,2.370890469
6.24,1.621013774,2.371546208
6.25,1.623386032,2.37219788
6.26,1.625770259,2.372845486
6.27,1.628166457,2.373489025
6.28,1.627373692,2.374128498
6.29,1.629934274,2.374763903
6.3,1.632497685,2.375395242
6.31,1.635057738,2.376022515
6.32,1.637609083,2.37664572
6.33,1.640147366,2.377264859
6.34,1.642669385,2.377879931
6.35,1.645173253,2.378490937
6.36,1.647658556,2.379097876
6.37,1.650126515,2.379700748
6.38,1.652580142,2.380299553
6.39,1.655024401,2.380894292
6.4,1.65746637,2.381484964
6.41,1.659905737,2.382071569
6.42,1.662339264,2.382654107
6.43,1.664766951,2.383232579
6.44,1.667188798,2.383806984
6.45,1.669605182,2.384377323
6.46,1.672017132,2.384943594
6.47,1.674423123,2.385505799
6.48,1.676821766,2.386063937
6.49,1.679211841,2.386618009
6.5,1.68159233,2.387168014
6.51,1.683962453,2.387713952
6.52,1.686321704,2.388255824
6.53,1.688669881,2.388793628
6.54,1.691007125,2.389327366
6.55,1.693333953,2.389857038
6.56,1.69565129,2.390382642
6.57,1.697960508,2.39090418
6.58,1.700262637,2.391421651
6.59,1.70255646,2.391935056
6.6,1.704841977,2.392444394
6.61,1.707119189,2.393046978
6.62,1.709388094,2.393776104
6.63,1.711648695,2.394511327
6.64,1.713900989,2.395252647
6.65,1.716144978,2.396000063
6.66,1.718380661,2.396753577
6.67,1.720618564,2.397513187
6.68,1.722857956,2.398278894
6.69,1.72508214,2.399050698
6.7,1.727276404,2.399828599
6.71,1.729428331,2.400612597
6.72,1.731528112,2.401402691
6.73,1.733568856,2.402198883
6.74,1.735546901,2.403001171
6.75,1.737462123,2.403809556
6.76,1.73931825,2.404624038
6.77,1.741123169,2.405444617
6.78,1.74288924,2.406271293
6.79,1.744633603,2.407104066
6.8,1.74635553,2.407942935
6.81,1.748046933,2.408787902
6.82,1.749704517,2.409638965
6.83,1.751287464,2.410496125
6.84,1.753231976,2.411359382
6.85,1.756432002,2.412228736
6.86,1.759553764,2.413125068
6.87,1.76259726,2.414057944
6.88,1.765562491,2.415000737
6.89,1.768449457,2.415953447
6.9,1.771258158,2.416916074
6.91,1.773988594,2.417888618
6.92,1.776640765,2.41887108
6.93,1.77921467,2.419863459
6.94,1.78171031,2.420865755
6.95,1.784127686,2.421877968
6.96,1.786466796,2.422900098
6.97,1.788727641,2.423932146
6.98,1.79091022,2.424974111
6.99,1.793014535,2.426025993
7,1.795040585,2.427087793
7.01,1.796988369,2.428159509
7.02,1.798857888,2.429241143
7.03,1.800649142,2.430332694
7.04,1.802362131,2.431434162
7.05,1.803996855,2.432545548
7.06,1.805553314,2.43366685
7.07,1.807031507,2.43479807
7.08,1.808606906,2.435939207
7.09,1.8106674,2.437090261
7.1,1.812751373,2.438235154
7.11,1.814858825,2.439124329
7.12,1.816989757,2.440001316
7.13,1.819144169,2.440866116
7.14,1.82132206,2.441718729
7.15,1.823523431,2.442559155
7.16,1.825748281,2.443387393
7.17,1.827996611,2.444203444
7.18,1.83026842,2.445007307
7.19,1.832563709,2.445798983
7.2,1.834882477,2.446578472
7.21,1.837224725,2.447345773
7.22,1.839590453,2.448100888
7.23,1.84197966,2.448843814
7.24,1.844392346,2.449574554
7.25,1.846828513,2.450293106
7.26,1.849288158,2.450999471
7.27,1.851771283,2.451693649
7.28,1.854277888,2.452375639
7.29,1.856807972,2.453045442
7.3,1.859361536,2.453703057
7.31,1.86193858,2.454348485
7.32,1.864539102,2.454981726
7.33,1.862462816,2.45560278
7.34,1.864786687,2.456211646
7.35,1.867112773,2.456808325
7.36,1.869456014,2.457392817
7.37,1.871816408,2.457965121
7.38,1.874193956,2.458525238
7.39,1.876588658,2.459073167
7.4,1.879000514,2.45960891
7.41,1.881429524,2.460132464
7.42,1.883875688,2.460643832
7.43,1.886339006,2.461143012
7.44,1.888819478,2.461630005
7.45,1.891317103,2.462104811
7.46,1.893831883,2.462567429
7.47,1.896363817,2.46301786
7.48,1.898934249,2.463456104
7.49,1.901551686,2.463989934
7.5,1.904172485,2.464597008
7.51,1.906758638,2.465201403
7.52,1.909278445,2.465803119
7.53,1.911707175,2.466402155
7.54,1.914027735,2.466998512
7.55,1.916231342,2.46759219
7.56,1.918318186,2.468183189
7.57,1.920298098,2.468771508
7.58,1.92219122,2.469357149
7.59,1.924028672,2.46994011
7.6,1.925853216,2.470520392
7.61,1.92767336,2.471097994
7.62,1.929462923,2.471672918
7.63,1.931221906,2.472245162
7.64,1.932950309,2.472814728
7.65,1.934648132,2.473381614
7.66,1.936315375,2.47394582
7.67,1.937952038,2.474507348
7.68,1.939558121,2.475066196
7.69,1.941133624,2.475622365
7.7,1.942651117,2.476175855
7.71,1.944126921,2.476726666
7.72,1.945591402,2.477274798
7.73,1.947071108,2.47782025
7.74,1.94858818,2.478363023
7.75,1.950159781,2.478903117
7.76,1.951797513,2.479440532
7.77,1.953506841,2.479975268
7.78,1.955286508,2.480507324
7.79,1.957127966,2.481036701
7.8,1.959014786,2.481563399
7.81,1.960922089,2.482194746
7.82,1.962815959,2.48293442
7.83,1.964712718,2.483684221
7.84,1.966620289,2.484444151
7.85,1.968538675,2.485214208
7.86,1.970467873,2.485994395
7.87,1.972407885,2.486784709
7.88,1.974358711,2.487585151
7.89,1.97632035,2.488395722
7.9,1.978292802,2.489216421
7.91,1.980276068,2.490047249
7.92,1.982270147,2.490888204
7.93,1.98427504,2.491739288
7.94,1.986290746,2.4926005
7.95,1.988317265,2.49347184
7.96,1.990354599,2.494353308
7.97,1.992402745,2.495244905
7.98,1.994464356,2.49614663
7.99,1.996543852,2.497058483
8,1.998632639,2.497980464
8.01,2.000723245,2.498912574
8.02,2.002809436,2.499854812
8.03,2.004886332,2.500807178
8.04,2.006950529,2.501769672
8.05,2.009000214,2.502742295
8.06,2.011035281,2.503725046
8.07,2.013057453,2.504717925
8.08,2.015070395,2.505720932
8.09,2.017079835,2.506734067
8.1,2.019093682,2.507757331
8.11,2.021116355,2.508790723
8.12,2.02314143,2.509834243
8.13,2.025168907,2.510887892
8.14,2.027198786,2.511951668
8.15,2.029231067,2.513025573
8.16,2.03126575,2.514109606
8.17,2.033302835,2.515052537
8.18,2.035342322,2.515893967
8.19,2.037384211,2.516731733
8.2,2.039428502,2.517565834
8.21,2.041475194,2.51839627
8.22,2.043526987,2.519223042
8.23,2.045599209,2.520046149
8.24,2.047673258,2.520865591
8.25,2.049732665,2.521681368
8.26,2.051763399,2.522493481
8.27,2.053754156,2.523301929
8.28,2.055696663,2.524106712
8.29,2.057585967,2.524907831
8.3,2.059420737,2.525705285
8.31,2.061203559,2.526499074
8.32,2.062941231,2.527289198
8.33,2.064645059,2.528075658
8.34,2.066331159,2.528858453
8.35,2.068014861,2.529637583
8.36,2.069679767,2.530413049
8.37,2.071325878,2.531184849
8.38,2.072953193,2.531952986
8.39,2.074561712,2.532717457
8.4,2.076151436,2.533478263
8.41,2.077722364,2.534235405
8.42,2.079274496,2.534965801
8.43,2.080807833,2.535674001
8.44,2.082322374,2.536375474
8.45,2.08381812,2.537070223
8.46,2.08529507,2.537758245
8.47,2.086753224,2.538439542
8.48,2.088192582,2.539114113
8.49,2.089613145,2.539781958
8.5,2.091014912,2.540443078
8.51,2.092381996,2.541097472
8.52,2.093720469,2.541745141
8.53,2.095051478,2.542386083
8.54,2.09639316,2.543020301
8.55,2.097760351,2.543647792
8.56,2.099164272,2.544268558
8.57,2.100612232,2.544882598
8.58,2.10210732,2.545489912
8.59,2.103648106,2.546090501
8.6,2.105228334,2.546684364
8.61,2.10683662,2.547271502
8.62,2.108456148,2.547851914
8.63,2.110064365,2.5484256
8.64,2.111667346,2.54899256
8.65,2.113273235,2.549552795
8.66,2.114882033,2.550106304
8.67,2.11649374,2.550653087
8.68,2.118108355,2.551193145
8.69,2.119725878,2.551726477
8.7,2.12134631,2.552253084
8.71,2.12296965,2.552790559
8.72,2.124595898,2.553510041
8.73,2.126225055,2.554236248
8.74,2.127857121,2.554969181
8.75,2.129492094,2.55570884
8.76,2.131129977,2.556455225
8.77,2.132767478,2.557208335
8.78,2.134405779,2.55796817
8.79,2.136049298,2.558734732
8.8,2.137701854,2.559508019
8.81,2.139366597,2.560288032
8.82,2.141045937,2.56107477
8.83,2.142741477,2.561868235
8.84,2.14445394,2.562668424
